time,open,high,low,close,tick_volume,low_time,high_time
2018-06-29 03:00:00,417.0,421.5,417.0,420.5,284,2018-06-29 03:00:00,2018-06-29 03:12:00
2018-06-29 04:00:00,421.0,422.0,417.5,417.5,161,2018-06-29 04:12:00,2018-06-29 04:00:00
2018-06-29 05:00:00,417.5,420.0,417.0,419.0,203,2018-06-29 05:54:00,2018-06-29 05:48:00
2018-06-29 06:00:00,418.5,419.0,418.0,418.0,81,2018-06-29 06:00:00,2018-06-29 06:36:00
2018-06-29 07:00:00,418.5,418.5,412.5,413.0,231,2018-06-29 07:54:00,2018-06-29 07:00:00
2018-06-29 08:00:00,413.0,417.5,404.5,415.0,416,2018-06-29 08:24:00,2018-06-29 08:42:00
2018-06-29 09:00:00,415.0,415.5,412.0,414.0,151,2018-06-29 09:36:00,2018-06-29 09:12:00
2018-06-29 10:00:00,414.5,414.5,410.25,413.0,157,2018-06-29 10:12:00,2018-06-29 10:00:00
2018-06-29 11:00:00,412.5,415.5,411.5,412.0,175,2018-06-29 11:54:00,2018-06-29 11:18:00
2018-06-29 12:00:00,412.0,414.5,411.5,414.5,113,2018-06-29 12:00:00,2018-06-29 12:54:00
2018-06-29 13:00:00,415.0,415.0,411.5,412.0,207,2018-06-29 13:54:00,2018-06-29 13:00:00
2018-06-29 14:00:00,412.0,412.5,406.5,407.0,157,2018-06-29 14:36:00,2018-06-29 14:00:00
2018-06-29 15:00:00,406.5,408.5,406.0,407.0,99,2018-06-29 15:00:00,2018-06-29 15:00:00
2018-06-29 16:00:00,407.0,407.0,402.5,405.5,243,2018-06-29 16:42:00,2018-06-29 16:00:00
2018-06-29 17:00:00,405.5,412.0,405.5,411.5,197,2018-06-29 17:00:00,2018-06-29 17:54:00
2018-06-29 18:00:00,411.0,411.0,406.5,411.0,135,2018-06-29 18:12:00,2018-06-29 18:00:00
2018-06-29 19:00:00,411.0,411.0,408.0,408.0,141,2018-06-29 19:42:00,2018-06-29 19:00:00
2018-06-29 20:00:00,408.5,410.5,408.0,409.0,98,2018-06-29 20:00:00,2018-06-29 20:18:00
2018-06-29 21:00:00,408.5,410.0,407.5,407.5,104,2018-06-29 21:36:00,2018-06-29 21:00:00
2018-06-29 22:00:00,407.5,407.5,404.5,406.0,162,2018-06-29 22:42:00,2018-06-29 22:00:00
2018-06-29 23:00:00,406.5,411.0,406.5,410.0,186,2018-06-29 23:00:00,2018-06-29 23:12:00
2018-07-02 00:00:00,449.53,450.55,447.5,450.41,390,2018-07-02 00:00:00,2018-07-02 00:54:00
