time,open,high,low,close,tick_volume,low_time,high_time
2018-01-01 19:00:00,5300.0,5300.0,5300.0,5300.0,1,2018-01-01 19:30:00,2018-01-01 19:30:00
2018-01-01 22:00:00,5300.0,5300.0,5300.0,5300.0,1,2018-01-01 22:00:00,2018-01-01 22:00:00
2018-01-02 09:00:00,5305.5,5311.5,5305.0,5311.5,76,2018-01-02 09:00:00,2018-01-02 09:54:00
2018-01-02 10:00:00,5305.7,5328.7,5305.7,5319.9,702,2018-01-02 10:00:00,2018-01-02 10:06:00
2018-01-02 11:00:00,5319.7,5320.2,5280.8,5288.8,2528,2018-01-02 11:24:00,2018-01-02 11:00:00
2018-01-02 12:00:00,5288.5,5289.5,5255.7,5264.4,1615,2018-01-02 12:54:00,2018-01-02 12:00:00
2018-01-02 13:00:00,5264.6,5273.5,5262.1,5265.3,1133,2018-01-02 13:00:00,2018-01-02 13:24:00
2018-01-02 14:00:00,5265.1,5271.2,5262.8,5266.7,832,2018-01-02 14:18:00,2018-01-02 14:24:00
2018-01-02 15:00:00,5267.0,5282.7,5265.2,5276.7,638,2018-01-02 15:00:00,2018-01-02 15:42:00
2018-01-02 16:00:00,5277.0,5282.7,5272.9,5272.9,419,2018-01-02 16:54:00,2018-01-02 16:30:00
2018-01-02 17:00:00,5272.7,5284.0,5266.2,5283.3,1419,2018-01-02 17:30:00,2018-01-02 17:54:00
2018-01-02 18:00:00,5283.8,5295.2,5282.8,5289.4,1491,2018-01-02 18:00:00,2018-01-02 18:18:00
2018-01-02 19:00:00,5289.6,5293.9,5274.9,5281.0,1188,2018-01-02 19:24:00,2018-01-02 19:12:00
2018-01-02 20:00:00,5281.3,5288.8,5278.3,5280.8,536,2018-01-02 20:48:00,2018-01-02 20:18:00
2018-01-02 21:00:00,5279.8,5288.8,5279.3,5288.0,382,2018-01-02 21:00:00,2018-01-02 21:54:00
2018-01-02 22:00:00,5288.3,5288.8,5285.5,5286.0,311,2018-01-02 22:36:00,2018-01-02 22:00:00
2018-01-03 09:00:00,5292.6,5293.1,5291.1,5292.1,69,2018-01-03 09:54:00,2018-01-03 09:00:00
2018-01-03 10:00:00,5289.3,5300.7,5289.3,5296.5,545,2018-01-03 10:00:00,2018-01-03 10:54:00
2018-01-03 11:00:00,5296.7,5311.6,5293.7,5304.1,1587,2018-01-03 11:00:00,2018-01-03 11:24:00
2018-01-03 12:00:00,5304.6,5311.6,5290.8,5300.4,1472,2018-01-03 12:36:00,2018-01-03 12:06:00
2018-01-03 13:00:00,5300.6,5311.1,5297.4,5309.2,985,2018-01-03 13:00:00,2018-01-03 13:54:00
2018-01-03 14:00:00,5308.9,5313.9,5305.7,5308.8,795,2018-01-03 14:06:00,2018-01-03 14:24:00
2018-01-03 15:00:00,5309.1,5313.4,5304.9,5312.4,606,2018-01-03 15:06:00,2018-01-03 15:54:00
2018-01-03 16:00:00,5312.7,5317.1,5307.1,5310.5,687,2018-01-03 16:48:00,2018-01-03 16:12:00
2018-01-03 17:00:00,5310.8,5325.4,5310.3,5320.9,1274,2018-01-03 17:00:00,2018-01-03 17:42:00
2018-01-03 18:00:00,5321.2,5347.3,5321.2,5336.2,1881,2018-01-03 18:00:00,2018-01-03 18:42:00
2018-01-03 19:00:00,5336.5,5340.3,5325.4,5330.7,1301,2018-01-03 19:42:00,2018-01-03 19:18:00
2018-01-03 20:00:00,5330.2,5342.9,5329.7,5342.7,460,2018-01-03 20:00:00,2018-01-03 20:54:00
2018-01-03 21:00:00,5343.2,5345.2,5338.7,5339.4,349,2018-01-03 21:54:00,2018-01-03 21:24:00
