time,open,high,low,close,tick_volume,low_time,high_time
2018-01-02 02:00:00,6392.8,6407.7,6392.8,6407.5,655,2018-01-02 02:00:00,2018-01-02 02:54:00
2018-01-02 03:00:00,6407.3,6414.3,6407.3,6411.8,359,2018-01-02 03:00:00,2018-01-02 03:42:00
2018-01-02 04:00:00,6412.3,6414.3,6409.0,6411.3,795,2018-01-02 04:06:00,2018-01-02 04:36:00
2018-01-02 05:00:00,6411.0,6413.8,6404.0,6406.0,777,2018-01-02 05:54:00,2018-01-02 05:12:00
2018-01-02 06:00:00,6406.2,6410.5,6402.5,6404.0,562,2018-01-02 06:48:00,2018-01-02 06:42:00
2018-01-02 07:00:00,6404.2,6408.4,6404.0,6408.0,297,2018-01-02 07:00:00,2018-01-02 07:30:00
2018-01-02 08:00:00,6408.2,6414.0,6408.2,6412.8,544,2018-01-02 08:00:00,2018-01-02 08:48:00
2018-01-02 09:00:00,6413.0,6413.2,6410.3,6411.3,290,2018-01-02 09:42:00,2018-01-02 09:12:00
2018-01-02 10:00:00,6411.8,6412.2,6404.3,6405.3,743,2018-01-02 10:48:00,2018-01-02 10:00:00
2018-01-02 11:00:00,6405.0,6405.2,6391.8,6398.2,1992,2018-01-02 11:36:00,2018-01-02 11:00:00
2018-01-02 12:00:00,6398.3,6398.5,6388.3,6389.0,1684,2018-01-02 12:54:00,2018-01-02 12:00:00
2018-01-02 13:00:00,6389.2,6400.3,6388.8,6398.5,1510,2018-01-02 13:00:00,2018-01-02 13:24:00
2018-01-02 14:00:00,6398.3,6407.3,6398.3,6405.8,920,2018-01-02 14:00:00,2018-01-02 14:42:00
2018-01-02 15:00:00,6406.0,6427.0,6406.0,6424.5,1166,2018-01-02 15:00:00,2018-01-02 15:36:00
2018-01-02 16:00:00,6424.4,6428.3,6421.3,6421.9,957,2018-01-02 16:00:00,2018-01-02 16:18:00
2018-01-02 17:00:00,6422.3,6473.3,6417.5,6471.8,6225,2018-01-02 17:30:00,2018-01-02 17:54:00
2018-01-02 18:00:00,6472.0,6489.4,6468.6,6489.1,4503,2018-01-02 18:00:00,2018-01-02 18:54:00
2018-01-02 19:00:00,6489.0,6497.1,6486.1,6489.4,3202,2018-01-02 19:42:00,2018-01-02 19:12:00
2018-01-02 20:00:00,6489.3,6492.6,6485.9,6488.4,1627,2018-01-02 20:36:00,2018-01-02 20:18:00
2018-01-02 21:00:00,6488.3,6496.9,6487.6,6496.4,1680,2018-01-02 21:12:00,2018-01-02 21:42:00
2018-01-02 22:00:00,6496.6,6505.1,6496.1,6502.4,1611,2018-01-02 22:00:00,2018-01-02 22:42:00
2018-01-02 23:00:00,6502.1,6511.6,6500.9,6508.9,2059,2018-01-02 23:00:00,2018-01-02 23:48:00
2018-01-03 02:00:00,6501.0,6505.2,6500.0,6505.1,412,2018-01-03 02:12:00,2018-01-03 02:54:00
2018-01-03 03:00:00,6505.0,6510.5,6504.5,6507.7,477,2018-01-03 03:00:00,2018-01-03 03:36:00
2018-01-03 04:00:00,6507.5,6508.9,6504.5,6508.5,694,2018-01-03 04:42:00,2018-01-03 04:06:00
2018-01-03 05:00:00,6508.6,6513.0,6508.1,6509.9,594,2018-01-03 05:00:00,2018-01-03 05:00:00
2018-01-03 06:00:00,6510.0,6512.0,6509.2,6510.2,343,2018-01-03 06:00:00,2018-01-03 06:24:00
2018-01-03 07:00:00,6510.5,6510.7,6509.0,6509.5,125,2018-01-03 07:18:00,2018-01-03 07:00:00
2018-01-03 08:00:00,6509.4,6511.0,6508.7,6509.9,231,2018-01-03 08:00:00,2018-01-03 08:24:00
2018-01-03 09:00:00,6510.0,6511.0,6507.5,6510.0,198,2018-01-03 09:36:00,2018-01-03 09:54:00
2018-01-03 10:00:00,6510.6,6514.0,6510.0,6514.0,340,2018-01-03 10:00:00,2018-01-03 10:54:00
2018-01-03 11:00:00,6514.1,6516.7,6511.2,6516.2,880,2018-01-03 11:00:00,2018-01-03 11:18:00
2018-01-03 12:00:00,6516.0,6519.7,6514.0,6517.2,828,2018-01-03 12:24:00,2018-01-03 12:42:00
2018-01-03 13:00:00,6517.7,6518.1,6514.2,6516.7,775,2018-01-03 13:12:00,2018-01-03 13:00:00
2018-01-03 14:00:00,6516.6,6518.2,6515.2,6515.2,360,2018-01-03 14:54:00,2018-01-03 14:12:00
2018-01-03 15:00:00,6515.5,6516.2,6511.0,6513.7,428,2018-01-03 15:30:00,2018-01-03 15:00:00
2018-01-03 16:00:00,6513.6,6515.0,6508.7,6509.9,693,2018-01-03 16:54:00,2018-01-03 16:12:00
2018-01-03 17:00:00,6509.7,6550.2,6509.7,6548.2,4124,2018-01-03 17:00:00,2018-01-03 17:54:00
2018-01-03 18:00:00,6549.6,6563.8,6547.3,6560.3,4878,2018-01-03 18:12:00,2018-01-03 18:42:00
2018-01-03 19:00:00,6560.5,6568.0,6555.6,6561.8,2752,2018-01-03 19:00:00,2018-01-03 19:30:00
2018-01-03 20:00:00,6562.0,6579.1,6561.8,6575.8,1878,2018-01-03 20:06:00,2018-01-03 20:48:00
2018-01-03 21:00:00,6576.1,6577.3,6562.1,6563.0,2300,2018-01-03 21:54:00,2018-01-03 21:24:00
2018-01-03 22:00:00,6562.6,6575.6,6560.6,6571.3,2842,2018-01-03 22:00:00,2018-01-03 22:36:00
2018-01-03 23:00:00,6571.1,6581.2,6567.3,6573.6,3064,2018-01-03 23:12:00,2018-01-03 23:48:00
2018-01-04 02:00:00,6573.3,6574.4,6568.9,6573.6,556,2018-01-04 02:42:00,2018-01-04 02:00:00
2018-01-04 03:00:00,6573.3,6581.4,6573.2,6575.8,915,2018-01-04 03:00:00,2018-01-04 03:06:00
