time,open,high,low,close,tick_volume,low_time,high_time
2018-01-01 01:00:00,24694.0,24694.0,24694.0,24694.0,1,2018-01-01 01:00:00,2018-01-01 01:00:00
2018-01-01 10:00:00,24694.0,24694.0,24694.0,24694.0,1,2018-01-01 10:00:00,2018-01-01 10:00:00
2018-01-01 11:00:00,24694.0,24694.0,24694.0,24694.0,1,,
2018-01-01 17:00:00,24694.0,24694.0,24694.0,24694.0,1,2018-01-01 17:30:00,2018-01-01 17:30:00
2018-01-02 01:00:00,24694.0,24694.0,24694.0,24694.0,5,2018-01-02 01:00:00,2018-01-02 01:00:00
2018-01-02 02:00:00,24694.0,24800.5,24694.0,24795.6,617,2018-01-02 02:00:00,2018-01-02 02:30:00
2018-01-02 03:00:00,24796.1,24796.6,24785.7,24785.7,265,2018-01-02 03:54:00,2018-01-02 03:06:00
2018-01-02 04:00:00,24786.7,24790.7,24776.7,24782.3,691,2018-01-02 04:06:00,2018-01-02 04:00:00
2018-01-02 05:00:00,24781.8,24786.8,24763.9,24768.9,595,2018-01-02 05:54:00,2018-01-02 05:12:00
2018-01-02 06:00:00,24770.9,24781.9,24765.9,24781.4,361,2018-01-02 06:00:00,2018-01-02 06:42:00
2018-01-02 07:00:00,24781.9,24790.9,24781.9,24790.9,130,2018-01-02 07:00:00,2018-01-02 07:54:00
2018-01-02 08:00:00,24791.9,24799.9,24788.9,24796.0,291,2018-01-02 08:00:00,2018-01-02 08:48:00
2018-01-02 09:00:00,24796.0,24796.0,24792.0,24794.5,183,2018-01-02 09:00:00,2018-01-02 09:00:00
2018-01-02 10:00:00,24795.0,24809.5,24794.5,24805.1,540,2018-01-02 10:00:00,2018-01-02 10:18:00
2018-01-02 11:00:00,24804.6,24804.6,24779.7,24797.2,1584,2018-01-02 11:30:00,2018-01-02 11:00:00
2018-01-02 12:00:00,24796.7,24797.6,24758.9,24760.9,1064,2018-01-02 12:54:00,2018-01-02 12:00:00
2018-01-02 13:00:00,24761.4,24776.3,24759.9,24769.9,1035,2018-01-02 13:12:00,2018-01-02 13:24:00
2018-01-02 14:00:00,24768.9,24796.8,24768.9,24789.9,863,2018-01-02 14:00:00,2018-01-02 14:36:00
2018-01-02 15:00:00,24790.9,24834.7,24790.4,24834.7,985,2018-01-02 15:00:00,2018-01-02 15:54:00
2018-01-02 16:00:00,24833.7,24876.6,24823.8,24862.7,841,2018-01-02 16:00:00,2018-01-02 16:54:00
2018-01-02 17:00:00,24863.2,24880.6,24787.0,24825.7,4601,2018-01-02 17:48:00,2018-01-02 17:18:00
2018-01-02 18:00:00,24826.7,24846.6,24774.1,24785.7,3955,2018-01-02 18:42:00,2018-01-02 18:00:00
2018-01-02 19:00:00,24786.7,24798.7,24741.5,24764.1,2655,2018-01-02 19:36:00,2018-01-02 19:18:00
2018-01-02 20:00:00,24765.1,24776.0,24753.3,24759.1,1293,2018-01-02 20:42:00,2018-01-02 20:00:00
2018-01-02 21:00:00,24760.1,24791.9,24758.1,24778.0,1223,2018-01-02 21:00:00,2018-01-02 21:12:00
2018-01-02 22:00:00,24777.5,24784.1,24769.8,24782.8,1177,2018-01-02 22:06:00,2018-01-02 22:42:00
2018-01-02 23:00:00,24781.8,24816.4,24776.8,24814.7,2080,2018-01-02 23:00:00,2018-01-02 23:54:00
