time,open,high,low,close,tick_volume,low_time,high_time
2015-08-16 00:00:00,167.48,168.09,164.76,165.94,513,2015-08-16 00:00:00,2015-08-16 00:00:00
2015-08-17 00:00:00,166.11,166.63,164.58,165.29,329,2015-08-17 00:00:00,2015-08-17 00:00:00
2015-08-18 00:00:00,164.75,164.75,160.2,160.7,506,2015-08-18 00:00:00,2015-08-18 00:00:00
2015-08-19 00:00:00,160.11,160.93,137.0,150.01,3777,2015-08-19 00:00:00,2015-08-19 00:00:00
2015-08-20 00:00:00,149.97,151.03,148.67,150.23,447,2015-08-20 00:00:00,2015-08-20 00:00:00
2015-08-21 00:00:00,150.23,172.25,148.12,148.12,4616,2015-08-21 00:00:00,2015-08-21 00:00:00
2015-08-22 00:00:00,149.43,149.96,142.27,147.27,1323,2015-08-22 00:00:00,2015-08-22 00:00:00
2015-08-23 00:00:00,147.33,148.51,145.97,146.83,459,2015-08-23 00:00:00,2015-08-23 00:00:00
2015-08-24 00:00:00,146.95,147.35,135.52,136.59,1331,2015-08-24 00:00:00,2015-08-24 00:00:00
2015-08-25 00:00:00,132.11,144.08,131.83,142.2,1442,2015-08-25 00:00:00,2015-08-25 00:00:00
2015-08-26 00:00:00,143.02,147.01,142.43,144.46,773,2015-08-26 00:00:00,2015-08-26 00:00:00
2015-08-27 00:00:00,144.83,146.46,143.04,143.95,597,2015-08-27 00:00:00,2015-08-27 00:00:00
2015-08-28 00:00:00,143.22,153.08,141.03,150.58,1675,2015-08-28 00:00:00,2015-08-28 00:00:00
2015-08-29 00:00:00,150.74,151.78,148.23,149.79,616,2015-08-29 00:00:00,2015-08-29 00:00:00
2015-08-30 00:00:00,149.98,151.77,147.56,147.56,601,2015-08-30 00:00:00,2015-08-30 00:00:00
2015-08-31 00:00:00,147.53,151.41,147.28,150.08,572,2015-08-31 00:00:00,2015-08-31 00:00:00
2015-09-01 00:00:00,150.09,151.35,147.8,148.26,528,2015-09-01 00:00:00,2015-09-01 00:00:00
2015-09-02 00:00:00,148.24,150.15,147.44,150.15,352,2015-09-02 00:00:00,2015-09-02 00:00:00
2015-09-03 00:00:00,150.14,150.26,149.9,150.26,61,2015-09-03 00:00:00,2015-09-03 00:00:00
2015-09-04 00:00:00,150.27,150.67,149.91,150.67,113,2015-09-04 00:00:00,2015-09-04 00:00:00
2015-09-05 00:00:00,150.67,152.76,150.36,152.76,272,2015-09-05 00:00:00,2015-09-05 00:00:00
2015-09-06 00:00:00,152.76,161.09,151.51,161.08,1085,2015-09-06 00:00:00,2015-09-06 00:00:00
2015-09-07 00:00:00,161.08,161.09,156.28,156.46,501,2015-09-07 00:00:00,2015-09-07 00:00:00
2015-09-08 00:00:00,156.96,160.96,156.76,159.19,618,2015-09-08 00:00:00,2015-09-08 00:00:00
2015-09-09 00:00:00,159.25,159.47,156.39,157.42,434,2015-09-09 00:00:00,2015-09-09 00:00:00
2015-09-10 00:00:00,157.42,157.42,154.91,156.05,366,2015-09-10 00:00:00,2015-09-10 00:00:00
2015-09-11 00:00:00,156.05,157.42,156.05,157.02,178,2015-09-11 00:00:00,2015-09-11 00:00:00
2015-09-12 00:00:00,156.63,159.81,153.1,154.17,1097,2015-09-12 00:00:00,2015-09-12 00:00:00
2015-09-13 00:00:00,154.18,154.9,151.49,154.9,611,2015-09-13 00:00:00,2015-09-13 00:00:00
2015-09-14 00:00:00,154.9,154.98,150.44,151.19,538,2015-09-14 00:00:00,2015-09-14 00:00:00
2015-09-15 00:00:00,151.2,151.42,149.72,149.89,210,2015-09-15 00:00:00,2015-09-15 00:00:00
2015-09-16 00:00:00,149.94,150.55,147.76,148.32,397,2015-09-16 00:00:00,2015-09-16 00:00:00
2015-09-17 00:00:00,148.03,152.84,148.03,151.52,614,2015-09-17 00:00:00,2015-09-17 00:00:00
2015-09-18 00:00:00,151.64,152.36,150.34,151.96,373,2015-09-18 00:00:00,2015-09-18 00:00:00
2015-09-19 00:00:00,152.01,152.21,150.81,151.43,223,2015-09-19 00:00:00,2015-09-19 00:00:00
2015-09-20 00:00:00,151.38,152.01,150.89,151.02,189,2015-09-20 00:00:00,2015-09-20 00:00:00
2015-09-21 00:00:00,150.99,151.1,147.56,147.73,383,2015-09-21 00:00:00,2015-09-21 00:00:00
2015-09-22 00:00:00,147.75,150.99,146.19,149.95,741,2015-09-22 00:00:00,2015-09-22 00:00:00
2015-09-23 00:00:00,151.0,151.16,149.04,149.57,282,2015-09-23 00:00:00,2015-09-23 00:00:00
2015-09-24 00:00:00,149.57,154.93,148.55,154.54,780,2015-09-24 00:00:00,2015-09-24 00:00:00
2015-09-25 00:00:00,151.23,156.02,151.22,154.81,603,2015-09-25 00:00:00,2015-09-25 00:00:00
2015-09-26 00:00:00,154.96,155.02,153.71,154.33,200,2015-09-26 00:00:00,2015-09-26 00:00:00
2015-09-27 00:00:00,154.33,154.37,153.95,154.37,81,2015-09-27 00:00:00,2015-09-27 00:00:00
2015-09-28 00:00:00,154.37,156.3,148.5,156.15,1383,2015-09-28 00:00:00,2015-09-28 00:00:00
2015-09-29 00:00:00,155.82,157.31,153.86,153.86,495,2015-09-29 00:00:00,2015-09-29 00:00:00
2015-09-30 00:00:00,154.02,155.19,153.57,153.88,311,2015-09-30 00:00:00,2015-09-30 00:00:00
2015-10-01 00:00:00,154.1,155.85,153.72,155.29,308,2015-10-01 00:00:00,2015-10-01 00:00:00
2015-10-02 00:00:00,155.29,157.18,154.4,154.92,520,2015-10-02 00:00:00,2015-10-02 00:00:00
