time,open,high,low,close,tick_volume,low_time,high_time
2018-01-01 04:00:00,13563.0,13600.0,13169.0,13538.0,3794,2018-01-01 05:12:00,2018-01-01 04:00:00
2018-01-01 08:00:00,13539.0,13815.0,13344.0,13371.0,3527,2018-01-01 11:36:00,2018-01-01 10:00:00
2018-01-01 12:00:00,13372.0,13562.0,13027.0,13082.0,3405,2018-01-01 14:24:00,2018-01-01 12:48:00
2018-01-01 16:00:00,13080.0,13243.0,12739.0,12952.0,3970,2018-01-01 17:12:00,2018-01-01 18:24:00
2018-01-01 20:00:00,12953.0,13432.0,12905.0,13356.0,3619,2018-01-01 20:48:00,2018-01-01 23:12:00
2018-01-02 00:00:00,13358.0,13852.0,13296.0,13771.0,4097,2018-01-02 02:48:00,2018-01-02 03:12:00
2018-01-02 04:00:00,13771.0,13805.0,12760.0,12993.0,4491,2018-01-02 07:12:00,2018-01-02 04:00:00
2018-01-02 08:00:00,12993.0,13406.0,12954.0,13331.0,3543,2018-01-02 08:48:00,2018-01-02 11:12:00
2018-01-02 12:00:00,13331.0,13633.0,13328.0,13526.0,3699,2018-01-02 12:00:00,2018-01-02 13:36:00
2018-01-02 16:00:00,13520.0,13930.0,13520.0,13629.0,3863,2018-01-02 16:00:00,2018-01-02 16:48:00
2018-01-02 20:00:00,13635.0,15242.0,13635.0,14815.0,4574,2018-01-02 20:00:00,2018-01-02 22:00:00
2018-01-03 00:00:00,14781.0,14979.0,14591.0,14761.0,3744,2018-01-03 02:00:00,2018-01-03 01:12:00
2018-01-03 04:00:00,14761.0,15203.0,14675.0,15055.0,3688,2018-01-03 04:24:00,2018-01-03 06:00:00
2018-01-03 08:00:00,15040.0,15383.0,14970.0,15052.0,3855,2018-01-03 08:00:00,2018-01-03 10:00:00
2018-01-03 12:00:00,15043.0,15079.0,14469.0,14547.0,3883,2018-01-03 15:36:00,2018-01-03 12:00:00
2018-01-03 16:00:00,14532.0,15162.0,14511.0,15058.0,4039,2018-01-03 16:00:00,2018-01-03 19:12:00
2018-01-03 20:00:00,15052.0,15057.0,14658.0,14887.0,3589,2018-01-03 22:48:00,2018-01-03 20:00:00
2018-01-04 00:00:00,14955.0,15125.0,14790.0,15033.0,3580,2018-01-04 01:36:00,2018-01-04 02:48:00
2018-01-04 04:00:00,15033.0,15341.0,14757.0,14851.0,4042,2018-01-04 06:48:00,2018-01-04 04:48:00
2018-01-04 08:00:00,14851.0,15005.0,14155.0,14232.0,4254,2018-01-04 11:12:00,2018-01-04 09:36:00
2018-01-04 12:00:00,14208.0,14533.0,14016.0,14314.0,4163,2018-01-04 12:00:00,2018-01-04 12:48:00
2018-01-04 16:00:00,14314.0,14630.0,14299.0,14499.0,4078,2018-01-04 16:00:00,2018-01-04 18:00:00
2018-01-04 20:00:00,14502.0,15044.0,14488.0,14773.0,4039,2018-01-04 20:00:00,2018-01-04 23:12:00
2018-01-05 00:00:00,14809.0,15149.0,14764.0,14957.0,3671,2018-01-05 01:12:00,2018-01-05 02:48:00
2018-01-05 04:00:00,14957.0,15145.0,14708.0,14905.0,3818,2018-01-05 07:12:00,2018-01-05 05:12:00
2018-01-05 08:00:00,14905.0,15549.0,14774.0,15547.0,3547,2018-01-05 10:00:00,2018-01-05 11:36:00
2018-01-05 12:00:00,15548.0,16196.0,15548.0,15832.0,4361,2018-01-05 12:00:00,2018-01-05 13:36:00
2018-01-05 16:00:00,15831.0,16369.0,15802.0,16278.0,3703,2018-01-05 16:48:00,2018-01-05 19:12:00
2018-01-05 20:00:00,16278.0,16563.0,16165.0,16486.0,3760,2018-01-05 22:00:00,2018-01-05 20:24:00
2018-01-08 00:00:00,16158.0,16449.0,15878.0,15878.0,2237,2018-01-08 03:36:00,2018-01-08 01:36:00
2018-01-08 04:00:00,15878.0,16036.0,15470.0,15605.0,3744,2018-01-08 06:48:00,2018-01-08 05:12:00
2018-01-08 08:00:00,15605.0,15906.0,15330.0,15431.0,3052,2018-01-08 11:36:00,2018-01-08 10:24:00
2018-01-08 12:00:00,15431.0,15490.0,15058.0,15335.0,3539,2018-01-08 12:48:00,2018-01-08 14:48:00
2018-01-08 16:00:00,15335.0,15424.0,13710.0,14749.0,4997,2018-01-08 18:00:00,2018-01-08 16:00:00
2018-01-08 20:00:00,14748.0,15106.0,14336.0,14874.0,4027,2018-01-08 20:24:00,2018-01-08 22:48:00
2018-01-09 00:00:00,14873.0,15190.0,14376.0,15165.0,3633,2018-01-09 02:00:00,2018-01-09 03:36:00
2018-01-09 04:00:00,15159.0,15309.0,14955.0,15290.0,2776,2018-01-09 04:24:00,2018-01-09 07:12:00
2018-01-09 08:00:00,15290.0,15294.0,14706.0,15117.0,3201,2018-01-09 09:36:00,2018-01-09 08:00:00
2018-01-09 12:00:00,15117.0,15117.0,14370.0,14698.0,3694,2018-01-09 13:36:00,2018-01-09 12:00:00
