time,open,high,low,close,tick_volume,low_time,high_time
2015-01-02 12:00:00,1.20467,1.206,1.20347,1.20377,14827,2015-01-02 15:36:00,2015-01-02 12:48:00
2015-01-02 16:00:00,1.20377,1.20437,1.20069,1.20131,19160,2015-01-02 19:36:00,2015-01-02 16:00:00
2015-01-02 20:00:00,1.20133,1.20154,1.20011,1.20029,9335,2015-01-02 23:12:00,2015-01-02 20:00:00
2015-01-03 00:00:00,1.2003,1.20055,1.19997,1.20014,1351,2015-01-03 00:24:00,2015-01-03 00:00:00
2015-01-05 00:00:00,1.19454,1.19755,1.18642,1.19624,13941,2015-01-05 00:48:00,2015-01-05 03:36:00
2015-01-05 04:00:00,1.19623,1.19726,1.1935,1.19405,11188,2015-01-05 07:12:00,2015-01-05 04:24:00
2015-01-05 08:00:00,1.19405,1.19757,1.19253,1.19547,16325,2015-01-05 08:48:00,2015-01-05 11:36:00
2015-01-05 12:00:00,1.19548,1.19601,1.18866,1.18991,20361,2015-01-05 15:36:00,2015-01-05 12:24:00
2015-01-05 16:00:00,1.18991,1.1941,1.18923,1.19172,21638,2015-01-05 16:00:00,2015-01-05 18:24:00
2015-01-05 20:00:00,1.19173,1.19489,1.19118,1.19362,10274,2015-01-05 20:00:00,2015-01-05 23:36:00
2015-01-06 00:00:00,1.19361,1.19428,1.19263,1.19424,6980,2015-01-06 01:36:00,2015-01-06 03:36:00
2015-01-06 04:00:00,1.19425,1.19542,1.19356,1.19482,7801,2015-01-06 04:24:00,2015-01-06 05:36:00
2015-01-06 08:00:00,1.19482,1.19682,1.19215,1.19441,15230,2015-01-06 11:36:00,2015-01-06 09:36:00
2015-01-06 12:00:00,1.19442,1.19454,1.18836,1.19065,20361,2015-01-06 15:12:00,2015-01-06 12:00:00
2015-01-06 16:00:00,1.19064,1.19397,1.18869,1.19365,23634,2015-01-06 17:12:00,2015-01-06 19:36:00
2015-01-06 20:00:00,1.1936,1.19577,1.18883,1.18979,17260,2015-01-06 23:12:00,2015-01-06 20:24:00
2015-01-07 00:00:00,1.18978,1.18987,1.18466,1.18689,10269,2015-01-07 00:48:00,2015-01-07 00:00:00
2015-01-07 04:00:00,1.18697,1.18799,1.1866,1.18749,8344,2015-01-07 06:00:00,2015-01-07 04:24:00
2015-01-07 08:00:00,1.18748,1.18956,1.18541,1.18676,16619,2015-01-07 09:36:00,2015-01-07 10:48:00
2015-01-07 12:00:00,1.18678,1.18787,1.18184,1.18357,23330,2015-01-07 14:48:00,2015-01-07 12:00:00
2015-01-07 16:00:00,1.18356,1.18384,1.18014,1.18193,23250,2015-01-07 18:48:00,2015-01-07 16:24:00
2015-01-07 20:00:00,1.18197,1.1858,1.1808,1.18326,16323,2015-01-07 22:00:00,2015-01-07 22:48:00
2015-01-08 00:00:00,1.18325,1.18467,1.18306,1.18374,7495,2015-01-08 02:00:00,2015-01-08 03:36:00
2015-01-08 04:00:00,1.18377,1.184,1.18169,1.1822,8147,2015-01-08 06:00:00,2015-01-08 04:00:00
2015-01-08 08:00:00,1.1822,1.1826,1.17912,1.17936,14350,2015-01-08 11:36:00,2015-01-08 08:00:00
2015-01-08 12:00:00,1.17935,1.18072,1.17536,1.17753,19729,2015-01-08 15:12:00,2015-01-08 12:00:00
2015-01-08 16:00:00,1.17754,1.18138,1.17611,1.18091,21784,2015-01-08 16:00:00,2015-01-08 19:36:00
2015-01-08 20:00:00,1.1809,1.18186,1.17796,1.17878,11121,2015-01-08 22:00:00,2015-01-08 20:00:00
2015-01-09 00:00:00,1.17877,1.17963,1.17862,1.17953,7817,2015-01-09 01:36:00,2015-01-09 03:36:00
2015-01-09 04:00:00,1.17952,1.1812,1.17944,1.18051,9345,2015-01-09 04:00:00,2015-01-09 07:12:00
2015-01-09 08:00:00,1.1805,1.18143,1.17844,1.18044,13876,2015-01-09 10:24:00,2015-01-09 08:00:00
2015-01-09 12:00:00,1.18046,1.18194,1.17972,1.18164,17248,2015-01-09 12:00:00,2015-01-09 12:48:00
2015-01-09 16:00:00,1.18163,1.1844,1.17623,1.18289,30504,2015-01-09 16:24:00,2015-01-09 19:12:00
2015-01-09 20:00:00,1.1829,1.1845,1.18279,1.18425,12014,2015-01-09 20:48:00,2015-01-09 22:48:00
2015-01-10 00:00:00,1.18424,1.18436,1.18306,1.18402,2007,2015-01-10 00:24:00,2015-01-10 00:00:00
2015-01-12 00:00:00,1.18481,1.18692,1.1845,1.18662,5929,2015-01-12 00:48:00,2015-01-12 02:48:00
2015-01-12 04:00:00,1.18662,1.18665,1.18447,1.18523,8092,2015-01-12 06:00:00,2015-01-12 04:24:00
2015-01-12 08:00:00,1.18523,1.18702,1.18094,1.18146,14287,2015-01-12 11:36:00,2015-01-12 08:48:00
2015-01-12 12:00:00,1.18147,1.18239,1.17856,1.17898,18421,2015-01-12 15:36:00,2015-01-12 12:24:00
2015-01-12 16:00:00,1.17897,1.18442,1.17886,1.18306,21684,2015-01-12 16:00:00,2015-01-12 17:36:00
2015-01-12 20:00:00,1.18306,1.18452,1.18166,1.18366,11267,2015-01-12 20:24:00,2015-01-12 22:24:00
2015-01-13 00:00:00,1.18365,1.18425,1.18225,1.18412,6933,2015-01-13 03:12:00,2015-01-13 03:36:00
2015-01-13 04:00:00,1.18414,1.18589,1.18319,1.1836,10418,2015-01-13 07:36:00,2015-01-13 06:00:00
2015-01-13 08:00:00,1.18357,1.18515,1.18167,1.18206,16194,2015-01-13 11:36:00,2015-01-13 10:24:00
2015-01-13 12:00:00,1.18206,1.18256,1.17752,1.178,19875,2015-01-13 15:36:00,2015-01-13 12:00:00
2015-01-13 16:00:00,1.17801,1.17992,1.17529,1.17778,22884,2015-01-13 18:00:00,2015-01-13 19:12:00
2015-01-13 20:00:00,1.17778,1.17955,1.17582,1.17709,16435,2015-01-13 22:48:00,2015-01-13 20:24:00
