time,open,high,low,close,tick_volume,low_time,high_time
2018-01-02 04:00:00,22884.0,22884.0,22760.0,22800.0,861,2018-01-02 06:00:00,2018-01-02 04:00:00
2018-01-02 08:00:00,22801.0,22823.0,22683.0,22708.0,768,2018-01-02 11:12:00,2018-01-02 08:00:00
2018-01-02 12:00:00,22710.0,22713.0,22623.0,22681.0,1791,2018-01-02 12:48:00,2018-01-02 12:00:00
2018-01-02 16:00:00,22681.0,22790.0,22653.0,22753.0,2810,2018-01-02 17:36:00,2018-01-02 18:24:00
2018-01-02 20:00:00,22752.0,22808.0,22748.0,22808.0,650,2018-01-02 20:00:00,2018-01-02 21:12:00
2018-01-03 00:00:00,22788.0,22912.0,22769.0,22858.0,853,2018-01-03 02:00:00,2018-01-03 03:12:00
2018-01-03 04:00:00,22859.0,22886.0,22816.0,22886.0,849,2018-01-03 04:00:00,2018-01-03 07:36:00
2018-01-03 08:00:00,22885.0,22908.0,22850.0,22905.0,507,2018-01-03 09:12:00,2018-01-03 11:12:00
2018-01-03 12:00:00,22908.0,22918.0,22863.0,22890.0,1147,2018-01-03 13:12:00,2018-01-03 12:00:00
2018-01-03 16:00:00,22889.0,23120.0,22885.0,23093.0,2559,2018-01-03 16:48:00,2018-01-03 19:36:00
2018-01-03 20:00:00,23091.0,23218.0,23089.0,23188.0,1101,2018-01-03 20:00:00,2018-01-03 22:00:00
2018-01-04 00:00:00,23180.0,23258.0,23085.0,23225.0,1701,2018-01-04 02:24:00,2018-01-04 03:36:00
2018-01-04 04:00:00,23224.0,23405.0,23208.0,23399.0,2398,2018-01-04 04:00:00,2018-01-04 07:36:00
2018-01-04 08:00:00,23400.0,23490.0,23394.0,23463.0,1878,2018-01-04 08:00:00,2018-01-04 08:48:00
2018-01-04 12:00:00,23468.0,23548.0,23458.0,23533.0,747,2018-01-04 12:00:00,2018-01-04 15:12:00
2018-01-04 16:00:00,23529.0,23668.0,23513.0,23624.0,2861,2018-01-04 16:00:00,2018-01-04 18:24:00
2018-01-04 20:00:00,23623.0,23668.0,23603.0,23633.0,1155,2018-01-04 23:12:00,2018-01-04 21:36:00
2018-01-05 00:00:00,23652.0,23667.0,23554.0,23575.0,1501,2018-01-05 03:12:00,2018-01-05 02:00:00
2018-01-05 04:00:00,23574.0,23663.0,23513.0,23658.0,2334,2018-01-05 04:48:00,2018-01-05 06:48:00
2018-01-05 08:00:00,23664.0,23818.0,23664.0,23748.0,1715,2018-01-05 08:00:00,2018-01-05 11:12:00
2018-01-05 12:00:00,23753.0,23773.0,23723.0,23743.0,1024,2018-01-05 12:00:00,2018-01-05 12:24:00
2018-01-05 16:00:00,23745.0,23788.0,23706.0,23753.0,3102,2018-01-05 18:24:00,2018-01-05 16:48:00
2018-01-05 20:00:00,23753.0,23818.0,23741.0,23818.0,808,2018-01-05 20:24:00,2018-01-05 23:12:00
2018-01-08 00:00:00,23821.0,23903.0,23794.0,23864.0,981,2018-01-08 02:24:00,2018-01-08 02:24:00
2018-01-08 04:00:00,23865.0,23881.0,23839.0,23859.0,1034,2018-01-08 05:36:00,2018-01-08 06:24:00
2018-01-08 08:00:00,23859.0,23909.0,23839.0,23849.0,613,2018-01-08 11:12:00,2018-01-08 10:48:00
2018-01-08 12:00:00,23854.0,23889.0,23824.0,23849.0,1653,2018-01-08 15:36:00,2018-01-08 14:24:00
2018-01-08 16:00:00,23845.0,23934.0,23814.0,23914.0,2727,2018-01-08 16:24:00,2018-01-08 19:12:00
2018-01-08 20:00:00,23915.0,23964.0,23914.0,23954.0,855,2018-01-08 20:00:00,2018-01-08 22:48:00
2018-01-09 00:00:00,23943.0,23999.0,23864.0,23914.0,1797,2018-01-09 03:12:00,2018-01-09 02:48:00
2018-01-09 04:00:00,23916.0,23930.0,23765.0,23848.0,3893,2018-01-09 06:00:00,2018-01-09 04:00:00
2018-01-09 08:00:00,23847.0,23918.0,23823.0,23913.0,1428,2018-01-09 08:48:00,2018-01-09 11:36:00
2018-01-09 12:00:00,23918.0,23928.0,23828.0,23853.0,931,2018-01-09 14:24:00,2018-01-09 12:00:00
2018-01-09 16:00:00,23852.0,23863.0,23763.0,23803.0,2663,2018-01-09 18:48:00,2018-01-09 17:12:00
2018-01-09 20:00:00,23800.0,23858.0,23793.0,23848.0,1715,2018-01-09 20:00:00,2018-01-09 21:12:00
2018-01-10 00:00:00,23795.0,23850.0,23758.0,23780.0,1937,2018-01-10 02:00:00,2018-01-10 02:48:00
2018-01-10 04:00:00,23779.0,23837.0,23722.0,23812.0,3730,2018-01-10 05:36:00,2018-01-10 07:36:00
2018-01-10 08:00:00,23811.0,23814.0,23677.0,23677.0,2018,2018-01-10 11:36:00,2018-01-10 08:00:00
2018-01-10 12:00:00,23679.0,23707.0,23552.0,23557.0,3493,2018-01-10 15:36:00,2018-01-10 12:00:00
2018-01-10 16:00:00,23559.0,23667.0,23554.0,23652.0,4752,2018-01-10 16:00:00,2018-01-10 19:36:00
2018-01-10 20:00:00,23654.0,23675.0,23572.0,23617.0,1595,2018-01-10 23:12:00,2018-01-10 20:48:00
2018-01-11 00:00:00,23623.0,23732.0,23595.0,23697.0,1713,2018-01-11 03:12:00,2018-01-11 03:36:00
2018-01-11 04:00:00,23702.0,23739.0,23613.0,23631.0,3783,2018-01-11 05:36:00,2018-01-11 04:00:00
2018-01-11 08:00:00,23632.0,23696.0,23619.0,23661.0,1783,2018-01-11 08:00:00,2018-01-11 08:48:00
2018-01-11 12:00:00,23656.0,23706.0,23616.0,23681.0,1486,2018-01-11 13:12:00,2018-01-11 15:12:00
2018-01-11 16:00:00,23680.0,23691.0,23626.0,23671.0,3872,2018-01-11 17:12:00,2018-01-11 16:00:00
2018-01-11 20:00:00,23666.0,23776.0,23666.0,23776.0,1782,2018-01-11 20:00:00,2018-01-11 23:12:00
2018-01-12 00:00:00,23771.0,23784.0,23665.0,23690.0,1936,2018-01-12 03:12:00,2018-01-12 02:00:00
2018-01-12 04:00:00,23691.0,23723.0,23636.0,23643.0,3093,2018-01-12 04:00:00,2018-01-12 06:24:00
2018-01-12 08:00:00,23644.0,23684.0,23577.0,23664.0,1912,2018-01-12 08:00:00,2018-01-12 10:24:00
2018-01-12 12:00:00,23669.0,23679.0,23639.0,23664.0,1135,2018-01-12 12:24:00,2018-01-12 14:48:00
2018-01-12 16:00:00,23663.0,23834.0,23659.0,23814.0,3921,2018-01-12 16:00:00,2018-01-12 19:36:00
