time,open,high,low,close,tick_volume,low_time,high_time
2018-06-29 04:00:00,73.0,73.0,72.5,72.5,237,2018-06-29 04:00:00,2018-06-29 04:00:00
2018-06-29 08:00:00,72.0,73.0,71.0,72.0,260,2018-06-29 08:00:00,2018-06-29 08:24:00
2018-06-29 12:00:00,72.0,72.5,71.5,72.0,191,2018-06-29 13:36:00,2018-06-29 12:48:00
2018-06-29 16:00:00,72.0,72.0,71.0,71.5,138,2018-06-29 16:24:00,2018-06-29 16:00:00
2018-06-29 20:00:00,72.0,72.0,71.5,72.0,248,2018-06-29 20:00:00,2018-06-29 20:00:00
2018-07-02 00:00:00,72.0,78.78,72.0,78.0,688,2018-07-02 00:00:00,2018-07-02 00:24:00
2018-07-02 04:00:00,78.0,78.0,77.5,77.5,31,2018-07-02 06:00:00,2018-07-02 04:24:00
2018-07-02 08:00:00,77.0,78.0,76.5,77.5,213,2018-07-02 08:48:00,2018-07-02 10:48:00
2018-07-02 12:00:00,77.5,78.5,77.5,78.0,307,2018-07-02 12:00:00,2018-07-02 15:36:00
2018-07-02 16:00:00,78.5,84.0,78.0,83.0,358,2018-07-02 16:00:00,2018-07-02 17:36:00
2018-07-02 20:00:00,83.0,84.5,83.0,83.5,174,2018-07-02 20:00:00,2018-07-02 22:00:00
2018-07-03 00:00:00,84.09,85.06,83.0,83.0,456,2018-07-03 03:12:00,2018-07-03 00:48:00
2018-07-03 04:00:00,83.5,88.0,83.0,87.0,190,2018-07-03 04:00:00,2018-07-03 07:36:00
2018-07-03 08:00:00,87.0,87.5,85.5,86.0,337,2018-07-03 11:12:00,2018-07-03 08:00:00
2018-07-03 12:00:00,85.5,86.0,83.5,84.5,226,2018-07-03 13:36:00,2018-07-03 12:00:00
2018-07-03 16:00:00,84.5,85.0,84.0,85.0,180,2018-07-03 16:24:00,2018-07-03 19:36:00
2018-07-03 20:00:00,84.5,86.5,84.0,85.5,239,2018-07-03 22:24:00,2018-07-03 22:24:00
2018-07-04 00:00:00,86.09,86.48,82.0,82.5,742,2018-07-04 02:00:00,2018-07-04 00:00:00
2018-07-04 04:00:00,82.0,82.5,81.5,82.0,101,2018-07-04 04:00:00,2018-07-04 04:00:00
2018-07-04 08:00:00,82.0,83.5,82.0,83.0,186,2018-07-04 08:00:00,2018-07-04 11:12:00
2018-07-04 12:00:00,83.0,84.5,83.0,84.0,170,2018-07-04 12:00:00,2018-07-04 15:12:00
2018-07-04 16:00:00,84.5,87.0,84.5,84.5,302,2018-07-04 16:00:00,2018-07-04 16:00:00
2018-07-04 20:00:00,85.0,85.0,84.5,85.0,83,2018-07-04 20:24:00,2018-07-04 20:00:00
2018-07-05 00:00:00,85.26,85.59,82.5,83.0,519,2018-07-05 03:12:00,2018-07-05 00:48:00
2018-07-05 04:00:00,83.0,85.0,82.5,83.5,400,2018-07-05 04:00:00,2018-07-05 04:24:00
2018-07-05 08:00:00,83.0,84.0,82.5,83.0,401,2018-07-05 09:12:00,2018-07-05 08:00:00
2018-07-05 12:00:00,83.0,84.0,82.0,82.5,426,2018-07-05 14:48:00,2018-07-05 14:00:00
2018-07-05 16:00:00,83.0,83.5,81.0,82.5,513,2018-07-05 18:00:00,2018-07-05 16:00:00
2018-07-05 20:00:00,82.5,82.5,80.5,81.0,323,2018-07-05 21:12:00,2018-07-05 20:00:00
2018-07-06 00:00:00,81.3,81.5,80.3,81.5,565,2018-07-06 00:00:00,2018-07-06 02:24:00
2018-07-06 04:00:00,81.0,82.0,81.0,81.0,251,2018-07-06 04:00:00,2018-07-06 05:12:00
2018-07-06 08:00:00,81.0,81.0,79.0,80.5,251,2018-07-06 10:24:00,2018-07-06 08:00:00
2018-07-06 12:00:00,80.0,82.0,79.5,82.0,161,2018-07-06 12:48:00,2018-07-06 14:48:00
2018-07-06 16:00:00,82.0,82.0,81.0,81.0,211,2018-07-06 18:00:00,2018-07-06 16:00:00
2018-07-06 20:00:00,80.5,82.0,80.5,81.0,198,2018-07-06 20:24:00,2018-07-06 20:24:00
2018-07-09 00:00:00,81.9,81.96,80.0,80.5,175,2018-07-09 02:24:00,2018-07-09 00:00:00
2018-07-09 04:00:00,80.5,80.5,79.5,80.0,173,2018-07-09 05:12:00,2018-07-09 04:00:00
2018-07-09 08:00:00,80.0,80.5,80.0,80.0,172,2018-07-09 08:00:00,2018-07-09 08:48:00
2018-07-09 12:00:00,79.5,80.5,79.5,80.0,277,2018-07-09 12:00:00,2018-07-09 14:24:00
2018-07-09 16:00:00,80.5,81.0,79.5,80.0,302,2018-07-09 19:12:00,2018-07-09 16:24:00
2018-07-09 20:00:00,80.0,80.0,79.0,79.0,178,2018-07-09 20:48:00,2018-07-09 20:00:00
2018-07-10 00:00:00,79.51,81.0,78.0,78.5,330,2018-07-10 02:24:00,2018-07-10 00:48:00
2018-07-10 04:00:00,78.0,78.5,76.5,76.5,425,2018-07-10 05:36:00,2018-07-10 04:00:00
2018-07-10 08:00:00,77.0,77.0,75.0,76.0,417,2018-07-10 08:48:00,2018-07-10 08:00:00
2018-07-10 12:00:00,75.5,76.0,72.5,73.5,462,2018-07-10 15:12:00,2018-07-10 12:00:00
2018-07-10 16:00:00,73.5,75.0,73.5,74.0,209,2018-07-10 16:00:00,2018-07-10 19:36:00
2018-07-10 20:00:00,74.0,76.0,74.0,76.0,253,2018-07-10 20:00:00,2018-07-10 23:36:00
2018-07-11 00:00:00,76.05,76.5,73.0,75.5,265,2018-07-11 02:00:00,2018-07-11 00:00:00
2018-07-11 04:00:00,75.5,76.0,74.0,74.5,396,2018-07-11 06:48:00,2018-07-11 04:00:00
2018-07-11 08:00:00,74.5,76.0,74.0,76.0,281,2018-07-11 08:00:00,2018-07-11 11:36:00
2018-07-11 12:00:00,75.5,79.0,75.5,77.0,308,2018-07-11 12:00:00,2018-07-11 14:24:00
2018-07-11 16:00:00,77.0,77.0,75.5,76.0,162,2018-07-11 18:24:00,2018-07-11 16:00:00
2018-07-11 20:00:00,76.0,77.0,74.0,75.0,346,2018-07-11 22:24:00,2018-07-11 20:00:00
2018-07-12 00:00:00,74.9,76.5,74.72,76.0,671,2018-07-12 00:00:00,2018-07-12 02:24:00
2018-07-12 04:00:00,76.0,76.0,75.0,75.0,213,2018-07-12 04:48:00,2018-07-12 04:00:00
2018-07-12 08:00:00,75.0,75.0,72.5,73.5,133,2018-07-12 09:36:00,2018-07-12 08:00:00
2018-07-12 12:00:00,74.0,75.0,73.5,74.0,194,2018-07-12 12:00:00,2018-07-12 15:12:00
2018-07-12 16:00:00,74.5,74.5,74.0,74.5,305,2018-07-12 16:00:00,2018-07-12 16:00:00
2018-07-12 20:00:00,74.5,74.5,73.5,74.0,138,2018-07-12 22:00:00,2018-07-12 20:00:00
2018-07-13 00:00:00,74.02,76.0,72.5,75.0,283,2018-07-13 02:00:00,2018-07-13 03:12:00
2018-07-13 04:00:00,75.5,76.0,75.0,75.5,150,2018-07-13 04:00:00,2018-07-13 06:48:00
2018-07-13 08:00:00,75.5,75.5,75.0,75.0,403,2018-07-13 09:36:00,2018-07-13 08:00:00
2018-07-13 12:00:00,75.0,76.0,75.0,75.5,307,2018-07-13 12:24:00,2018-07-13 15:12:00
2018-07-13 16:00:00,75.5,76.5,75.5,75.5,80,2018-07-13 16:00:00,2018-07-13 17:12:00
2018-07-13 20:00:00,75.5,76.5,73.5,74.0,265,2018-07-13 22:24:00,2018-07-13 21:12:00
2018-07-16 00:00:00,77.56,77.89,76.0,76.5,273,2018-07-16 02:48:00,2018-07-16 00:00:00
2018-07-16 04:00:00,76.5,76.5,76.0,76.0,174,2018-07-16 04:24:00,2018-07-16 04:00:00
2018-07-16 08:00:00,76.5,77.0,76.0,76.5,127,2018-07-16 08:00:00,2018-07-16 09:36:00
2018-07-16 12:00:00,76.5,81.5,76.5,80.5,531,2018-07-16 12:00:00,2018-07-16 14:24:00
2018-07-16 16:00:00,80.5,82.0,80.0,80.5,282,2018-07-16 16:24:00,2018-07-16 18:48:00
2018-07-16 20:00:00,81.0,82.0,80.5,81.0,336,2018-07-16 20:00:00,2018-07-16 20:24:00
2018-07-17 00:00:00,81.45,82.5,80.5,82.5,356,2018-07-17 00:00:00,2018-07-17 03:36:00
2018-07-17 04:00:00,82.0,82.5,81.0,81.0,241,2018-07-17 07:36:00,2018-07-17 04:00:00
2018-07-17 08:00:00,81.5,81.5,80.5,81.0,127,2018-07-17 08:48:00,2018-07-17 08:00:00
2018-07-18 08:00:00,90.0,90.0,87.5,89.0,447,2018-07-18 11:12:00,2018-07-18 08:24:00
2018-07-18 12:00:00,88.5,90.0,88.5,89.5,457,2018-07-18 12:00:00,2018-07-18 15:12:00
2018-07-18 16:00:00,89.5,90.0,88.0,88.5,344,2018-07-18 18:00:00,2018-07-18 17:12:00
2018-07-18 20:00:00,88.5,90.5,84.5,86.42,528,2018-07-18 22:48:00,2018-07-18 20:48:00
2018-07-19 00:00:00,86.32,86.49,83.0,84.0,338,2018-07-19 01:12:00,2018-07-19 00:00:00
2018-07-19 04:00:00,83.5,85.0,83.0,84.5,156,2018-07-19 04:24:00,2018-07-19 06:00:00
2018-07-19 08:00:00,84.5,85.5,84.5,84.5,208,2018-07-19 08:00:00,2018-07-19 09:12:00
2018-07-19 12:00:00,84.5,86.0,84.5,86.0,373,2018-07-19 12:00:00,2018-07-19 12:48:00
2018-07-19 16:00:00,86.0,87.0,84.0,84.0,253,2018-07-19 18:24:00,2018-07-19 16:24:00
2018-07-19 20:00:00,84.0,85.5,84.0,84.5,396,2018-07-19 20:00:00,2018-07-19 22:24:00
2018-07-20 00:00:00,84.64,86.0,83.0,83.0,287,2018-07-20 03:12:00,2018-07-20 01:36:00
2018-07-20 04:00:00,83.0,84.0,83.0,83.5,153,2018-07-20 04:00:00,2018-07-20 04:48:00
2018-07-20 08:00:00,83.5,83.5,81.0,83.0,353,2018-07-20 09:36:00,2018-07-20 08:00:00
2018-07-20 12:00:00,83.0,83.0,81.5,83.0,153,2018-07-20 13:12:00,2018-07-20 12:00:00
2018-07-20 16:00:00,82.5,84.5,82.0,82.5,396,2018-07-20 16:24:00,2018-07-20 19:36:00
2018-07-20 20:00:00,82.5,82.5,79.5,80.5,310,2018-07-20 20:48:00,2018-07-20 20:00:00
2018-07-23 00:00:00,82.03,82.04,80.0,81.0,371,2018-07-23 00:24:00,2018-07-23 00:00:00
2018-07-23 04:00:00,81.0,84.0,81.0,83.5,205,2018-07-23 04:24:00,2018-07-23 05:12:00
2018-07-23 08:00:00,83.5,83.5,81.5,82.0,188,2018-07-23 11:36:00,2018-07-23 08:00:00
2018-07-23 12:00:00,82.0,82.5,82.0,82.0,138,2018-07-23 12:00:00,2018-07-23 12:00:00
2018-07-23 16:00:00,82.5,83.5,82.0,82.0,55,2018-07-23 16:00:00,2018-07-23 16:48:00
2018-07-23 20:00:00,81.5,82.0,80.0,80.0,346,2018-07-23 23:36:00,2018-07-23 21:12:00
2018-07-24 00:00:00,80.32,80.36,79.0,79.0,275,2018-07-24 03:12:00,2018-07-24 00:00:00
2018-07-24 04:00:00,79.5,81.0,79.5,80.5,261,2018-07-24 04:00:00,2018-07-24 04:48:00
2018-07-24 08:00:00,80.0,87.5,80.0,85.0,417,2018-07-24 08:00:00,2018-07-24 10:00:00
