time,open,high,low,close,tick_volume,low_time,high_time
2018-01-02 04:00:00,7694.7,7702.2,7670.4,7695.2,356,2018-01-02 04:00:00,2018-01-02 04:48:00
2018-01-02 08:00:00,7695.9,7702.4,7660.4,7673.7,4537,2018-01-02 11:12:00,2018-01-02 08:00:00
2018-01-02 12:00:00,7673.4,7673.7,7642.0,7647.5,5631,2018-01-02 15:36:00,2018-01-02 12:00:00
2018-01-02 16:00:00,7648.0,7655.0,7621.5,7643.5,6762,2018-01-02 17:36:00,2018-01-02 18:24:00
2018-01-02 20:00:00,7644.0,7653.0,7641.0,7643.5,1525,2018-01-02 20:48:00,2018-01-02 23:12:00
2018-01-03 00:00:00,7648.6,7655.5,7644.0,7652.3,935,2018-01-03 02:00:00,2018-01-03 03:36:00
2018-01-03 04:00:00,7652.8,7653.9,7643.6,7644.1,186,2018-01-03 07:36:00,2018-01-03 05:12:00
2018-01-03 08:00:00,7644.4,7661.6,7638.1,7642.6,2519,2018-01-03 11:36:00,2018-01-03 10:48:00
2018-01-03 12:00:00,7642.9,7653.1,7640.1,7644.6,4968,2018-01-03 12:24:00,2018-01-03 14:24:00
2018-01-03 16:00:00,7644.9,7690.1,7643.1,7668.1,7524,2018-01-03 16:00:00,2018-01-03 18:24:00
2018-01-03 20:00:00,7667.9,7691.9,7666.6,7691.9,2236,2018-01-03 20:00:00,2018-01-03 23:12:00
2018-01-04 00:00:00,7682.7,7689.2,7682.0,7684.7,1049,2018-01-04 02:00:00,2018-01-04 02:48:00
2018-01-04 04:00:00,7685.2,7686.8,7673.6,7680.6,295,2018-01-04 04:00:00,2018-01-04 04:00:00
2018-01-04 08:00:00,7680.8,7696.8,7676.8,7676.8,3010,2018-01-04 11:36:00,2018-01-04 10:48:00
2018-01-04 12:00:00,7677.1,7686.8,7666.8,7677.8,4849,2018-01-04 14:48:00,2018-01-04 12:24:00
2018-01-04 16:00:00,7678.3,7698.6,7678.3,7682.3,6622,2018-01-04 16:00:00,2018-01-04 18:00:00
2018-01-04 20:00:00,7681.8,7692.8,7678.8,7691.1,1574,2018-01-04 22:24:00,2018-01-04 20:00:00
2018-01-05 00:00:00,7691.6,7696.0,7689.2,7694.0,728,2018-01-05 02:00:00,2018-01-05 03:12:00
2018-01-05 04:00:00,7694.5,7700.4,7687.4,7689.4,188,2018-01-05 07:36:00,2018-01-05 04:00:00
2018-01-05 08:00:00,7689.2,7708.5,7683.2,7707.0,2152,2018-01-05 09:12:00,2018-01-05 11:36:00
2018-01-05 12:00:00,7706.8,7727.5,7706.5,7716.5,4491,2018-01-05 12:00:00,2018-01-05 14:48:00
2018-01-05 16:00:00,7716.8,7725.0,7697.8,7712.5,7516,2018-01-05 17:36:00,2018-01-05 19:12:00
2018-01-05 20:00:00,7712.0,7721.5,7708.0,7721.0,1516,2018-01-05 20:48:00,2018-01-05 20:00:00
2018-01-08 00:00:00,7719.5,7741.9,7719.3,7724.7,1501,2018-01-08 02:00:00,2018-01-08 02:00:00
2018-01-08 04:00:00,7725.2,7726.6,7714.1,7718.1,331,2018-01-08 04:48:00,2018-01-08 04:00:00
2018-01-08 08:00:00,7718.4,7729.4,7710.9,7715.9,2436,2018-01-08 11:12:00,2018-01-08 09:36:00
2018-01-08 12:00:00,7716.1,7728.9,7703.4,7707.9,4341,2018-01-08 15:36:00,2018-01-08 12:48:00
2018-01-08 16:00:00,7707.6,7716.9,7688.4,7689.9,5611,2018-01-08 19:36:00,2018-01-08 16:48:00
2018-01-08 20:00:00,7689.6,7714.4,7688.9,7713.9,1758,2018-01-08 20:00:00,2018-01-08 23:12:00
2018-01-09 00:00:00,7711.8,7716.2,7708.5,7711.5,944,2018-01-09 03:12:00,2018-01-09 02:00:00
2018-01-09 04:00:00,7712.0,7715.2,7703.7,7706.2,323,2018-01-09 05:12:00,2018-01-09 04:00:00
