time,open,high,low,close,tick_volume,low_time,high_time
2015-01-02 12:00:00,1.16489,1.16841,1.16432,1.16789,10367,2015-01-02 12:24:00,2015-01-02 15:36:00
2015-01-02 16:00:00,1.1679,1.17413,1.1678,1.17249,16589,2015-01-02 16:00:00,2015-01-02 19:36:00
2015-01-02 20:00:00,1.17248,1.1762,1.17241,1.17616,10968,2015-01-02 20:00:00,2015-01-02 23:36:00
2015-01-03 00:00:00,1.17615,1.17848,1.17593,1.17826,1937,2015-01-03 00:00:00,2015-01-03 00:24:00
2015-01-05 00:00:00,1.17802,1.18407,1.17745,1.1783,9750,2015-01-05 03:36:00,2015-01-05 01:12:00
2015-01-05 04:00:00,1.17831,1.18117,1.17733,1.18105,8211,2015-01-05 04:00:00,2015-01-05 06:24:00
2015-01-05 08:00:00,1.18107,1.18118,1.17756,1.17822,11539,2015-01-05 11:36:00,2015-01-05 08:00:00
2015-01-05 12:00:00,1.1782,1.18093,1.17676,1.17886,14914,2015-01-05 12:48:00,2015-01-05 14:24:00
2015-01-05 16:00:00,1.17888,1.17994,1.17611,1.17848,17337,2015-01-05 16:24:00,2015-01-05 18:48:00
2015-01-05 20:00:00,1.17847,1.1794,1.17428,1.1749,10559,2015-01-05 22:00:00,2015-01-05 20:00:00
2015-01-06 00:00:00,1.17492,1.17656,1.17447,1.1746,6701,2015-01-06 00:24:00,2015-01-06 00:48:00
2015-01-06 04:00:00,1.17461,1.17539,1.17307,1.17448,6310,2015-01-06 05:36:00,2015-01-06 04:24:00
2015-01-06 08:00:00,1.17449,1.17776,1.17383,1.1766,12862,2015-01-06 08:24:00,2015-01-06 11:12:00
2015-01-06 12:00:00,1.17659,1.17849,1.17579,1.17681,14637,2015-01-06 12:00:00,2015-01-06 13:12:00
2015-01-06 16:00:00,1.17681,1.18117,1.1752,1.18025,19942,2015-01-06 18:00:00,2015-01-06 19:36:00
2015-01-06 20:00:00,1.18026,1.18288,1.17959,1.18274,12626,2015-01-06 20:24:00,2015-01-06 23:36:00
2015-01-07 00:00:00,1.18275,1.1844,1.18253,1.18326,6647,2015-01-07 00:00:00,2015-01-07 01:12:00
2015-01-07 04:00:00,1.18319,1.18339,1.18227,1.18302,6185,2015-01-07 05:12:00,2015-01-07 06:24:00
