time,open,high,low,close,tick_volume,low_time,high_time
2015-01-02 04:00:00,0.99605,0.99804,0.99571,0.99749,8802,2015-01-02 04:00:00,2015-01-02 05:12:00
2015-01-02 08:00:00,0.99746,0.9991,0.99603,0.99783,15782,2015-01-02 11:12:00,2015-01-02 10:24:00
2015-01-02 12:00:00,0.99781,0.99877,0.99662,0.99849,17534,2015-01-02 12:48:00,2015-01-02 15:36:00
2015-01-02 16:00:00,0.99848,1.00087,0.99796,1.00038,25721,2015-01-02 16:00:00,2015-01-02 19:36:00
2015-01-02 20:00:00,1.00038,1.00133,1.00018,1.00118,10953,2015-01-02 20:00:00,2015-01-02 23:12:00
2015-01-03 00:00:00,1.00117,1.00183,1.00091,1.00142,1155,2015-01-03 00:00:00,2015-01-03 00:24:00
2015-01-05 00:00:00,1.00632,1.01124,1.00319,1.00433,14724,2015-01-05 03:36:00,2015-01-05 00:48:00
2015-01-05 04:00:00,1.00433,1.00672,1.00344,1.00638,11591,2015-01-05 04:24:00,2015-01-05 07:12:00
2015-01-05 08:00:00,1.00637,1.00765,1.00332,1.00495,18556,2015-01-05 11:36:00,2015-01-05 08:48:00
2015-01-05 12:00:00,1.00495,1.01073,1.00448,1.00969,26145,2015-01-05 12:24:00,2015-01-05 15:36:00
2015-01-05 16:00:00,1.0097,1.01026,1.00602,1.00788,26464,2015-01-05 18:24:00,2015-01-05 16:00:00
2015-01-05 20:00:00,1.00788,1.00838,1.00535,1.00642,11092,2015-01-05 23:36:00,2015-01-05 20:00:00
2015-01-06 00:00:00,1.00641,1.00727,1.00588,1.00591,5959,2015-01-06 03:36:00,2015-01-06 01:36:00
2015-01-06 04:00:00,1.0059,1.00649,1.00489,1.00559,5849,2015-01-06 05:36:00,2015-01-06 04:24:00
2015-01-06 08:00:00,1.00557,1.00751,1.00403,1.00563,17332,2015-01-06 09:36:00,2015-01-06 11:36:00
2015-01-06 12:00:00,1.00562,1.01084,1.00547,1.0088,26975,2015-01-06 12:00:00,2015-01-06 15:12:00
2015-01-06 16:00:00,1.00879,1.01043,1.00576,1.00604,32700,2015-01-06 19:36:00,2015-01-06 17:12:00
2015-01-06 20:00:00,1.00606,1.01013,1.00426,1.00929,24139,2015-01-06 20:24:00,2015-01-06 23:12:00
2015-01-07 00:00:00,1.00928,1.01365,1.00921,1.01176,9217,2015-01-07 00:00:00,2015-01-07 00:48:00
2015-01-07 04:00:00,1.01176,1.01198,1.01086,1.01124,7269,2015-01-07 04:24:00,2015-01-07 06:00:00
2015-01-07 08:00:00,1.01125,1.01296,1.00935,1.01175,18462,2015-01-07 10:48:00,2015-01-07 09:36:00
2015-01-07 12:00:00,1.01176,1.016,1.01084,1.01462,33305,2015-01-07 12:00:00,2015-01-07 14:48:00
2015-01-07 16:00:00,1.01463,1.01745,1.01444,1.01592,30223,2015-01-07 16:00:00,2015-01-07 18:48:00
2015-01-07 20:00:00,1.01592,1.01698,1.01256,1.01476,25002,2015-01-07 22:48:00,2015-01-07 22:00:00
