time,open,high,low,close,tick_volume,low_time,high_time
2015-01-02 12:00:00,120.345,120.655,120.313,120.625,5984,2015-01-02 12:00:00,2015-01-02 15:36:00
2015-01-02 16:00:00,120.627,120.741,119.808,120.209,12484,2015-01-02 19:12:00,2015-01-02 17:36:00
2015-01-02 20:00:00,120.219,120.487,120.148,120.47,6574,2015-01-02 20:00:00,2015-01-02 23:36:00
2015-01-03 00:00:00,120.468,120.527,120.419,120.419,1018,2015-01-03 00:00:00,2015-01-03 00:24:00
2015-01-05 00:00:00,120.363,120.597,119.979,120.259,8092,2015-01-05 03:36:00,2015-01-05 01:36:00
2015-01-05 04:00:00,120.256,120.643,120.125,120.544,10389,2015-01-05 04:24:00,2015-01-05 06:48:00
2015-01-05 08:00:00,120.536,120.605,120.261,120.352,10309,2015-01-05 10:48:00,2015-01-05 08:24:00
2015-01-05 12:00:00,120.355,120.431,120.042,120.154,12057,2015-01-05 15:12:00,2015-01-05 14:24:00
2015-01-05 16:00:00,120.157,120.178,119.373,119.648,18371,2015-01-05 18:24:00,2015-01-05 16:00:00
2015-01-05 20:00:00,119.652,119.791,119.491,119.654,9081,2015-01-05 22:48:00,2015-01-05 21:36:00
2015-01-06 00:00:00,119.652,119.654,119.159,119.165,7343,2015-01-06 03:36:00,2015-01-06 00:00:00
2015-01-06 04:00:00,119.167,119.449,119.089,119.239,8333,2015-01-06 07:12:00,2015-01-06 04:48:00
2015-01-06 08:00:00,119.239,119.239,118.652,118.88,12538,2015-01-06 09:36:00,2015-01-06 08:00:00
2015-01-06 12:00:00,118.878,119.39,118.713,119.051,12835,2015-01-06 12:24:00,2015-01-06 14:48:00
2015-01-06 16:00:00,119.05,119.196,118.199,118.216,18809,2015-01-06 19:36:00,2015-01-06 17:12:00
2015-01-06 20:00:00,118.219,118.812,118.053,118.499,14159,2015-01-06 20:00:00,2015-01-06 23:12:00
2015-01-07 00:00:00,118.5,118.853,118.29,118.751,7744,2015-01-07 00:48:00,2015-01-07 03:36:00
2015-01-07 04:00:00,118.751,119.167,118.733,119.043,8562,2015-01-07 04:00:00,2015-01-07 05:12:00
2015-01-07 08:00:00,119.045,119.252,118.798,119.072,10613,2015-01-07 08:48:00,2015-01-07 10:24:00
2015-01-07 12:00:00,119.072,119.227,118.695,119.171,14105,2015-01-07 12:24:00,2015-01-07 15:36:00
2015-01-07 16:00:00,119.173,119.647,119.158,119.532,19595,2015-01-07 16:00:00,2015-01-07 18:00:00
2015-01-07 20:00:00,119.532,119.576,118.843,119.144,19983,2015-01-07 22:48:00,2015-01-07 20:00:00
2015-01-08 00:00:00,119.142,119.475,119.065,119.443,11572,2015-01-08 00:00:00,2015-01-08 03:36:00
2015-01-08 04:00:00,119.442,119.813,119.365,119.737,12825,2015-01-08 04:00:00,2015-01-08 06:00:00
2015-01-08 08:00:00,119.736,119.956,119.629,119.744,13719,2015-01-08 08:00:00,2015-01-08 10:00:00
2015-01-08 12:00:00,119.743,119.896,119.675,119.731,12699,2015-01-08 12:24:00,2015-01-08 15:12:00
2015-01-08 16:00:00,119.737,119.834,119.382,119.515,17971,2015-01-08 16:48:00,2015-01-08 16:00:00
2015-01-08 20:00:00,119.518,119.765,119.45,119.643,10576,2015-01-08 20:00:00,2015-01-08 22:24:00
2015-01-09 00:00:00,119.643,119.875,119.559,119.813,7390,2015-01-09 00:48:00,2015-01-09 02:24:00
2015-01-09 04:00:00,119.815,119.815,119.27,119.339,8473,2015-01-09 07:12:00,2015-01-09 04:00:00
2015-01-09 08:00:00,119.34,119.49,119.164,119.399,10594,2015-01-09 08:00:00,2015-01-09 10:24:00
2015-01-09 12:00:00,119.395,119.437,119.169,119.188,12926,2015-01-09 15:36:00,2015-01-09 12:00:00
2015-01-09 16:00:00,119.187,119.771,118.415,118.659,40438,2015-01-09 19:12:00,2015-01-09 16:24:00
2015-01-09 20:00:00,118.658,118.691,118.494,118.554,42465,2015-01-09 23:36:00,2015-01-09 20:00:00
2015-01-10 00:00:00,118.554,118.572,118.376,118.376,6974,2015-01-10 00:24:00,2015-01-10 00:00:00
2015-01-12 00:00:00,118.317,118.426,118.12,118.303,21920,2015-01-12 02:24:00,2015-01-12 01:12:00
2015-01-12 04:00:00,118.303,118.504,118.213,118.271,28442,2015-01-12 06:24:00,2015-01-12 05:12:00
2015-01-12 08:00:00,118.272,118.807,118.101,118.724,38015,2015-01-12 08:24:00,2015-01-12 11:12:00
2015-01-12 12:00:00,118.722,119.317,118.722,119.183,45740,2015-01-12 12:00:00,2015-01-12 13:12:00
2015-01-12 16:00:00,119.184,119.205,118.213,118.323,57518,2015-01-12 18:00:00,2015-01-12 16:00:00
2015-01-12 20:00:00,118.323,118.42,118.126,118.337,43877,2015-01-12 20:48:00,2015-01-12 20:00:00
2015-01-13 00:00:00,118.338,118.481,117.802,117.827,33305,2015-01-13 03:36:00,2015-01-13 02:24:00
2015-01-13 04:00:00,117.827,118.38,117.737,118.36,40881,2015-01-13 04:00:00,2015-01-13 07:36:00
2015-01-13 08:00:00,118.362,118.847,118.21,118.321,47116,2015-01-13 10:48:00,2015-01-13 09:12:00
2015-01-13 12:00:00,118.321,118.685,118.248,118.461,48707,2015-01-13 12:00:00,2015-01-13 13:12:00
2015-01-13 16:00:00,118.461,118.77,118.118,118.171,54712,2015-01-13 19:36:00,2015-01-13 17:36:00
2015-01-13 20:00:00,118.174,118.202,117.536,117.834,57394,2015-01-13 22:00:00,2015-01-13 20:00:00
2015-01-14 00:00:00,117.835,117.957,117.489,117.672,36508,2015-01-14 03:12:00,2015-01-14 01:36:00
2015-01-14 04:00:00,117.673,117.821,117.249,117.265,43613,2015-01-14 07:36:00,2015-01-14 04:24:00
2015-01-14 08:00:00,117.264,117.278,116.588,116.677,53700,2015-01-14 11:36:00,2015-01-14 08:00:00
2015-01-14 12:00:00,116.675,117.164,116.544,116.881,52109,2015-01-14 12:00:00,2015-01-14 12:48:00
2015-01-14 16:00:00,116.88,116.923,116.068,116.775,65349,2015-01-14 16:48:00,2015-01-14 18:48:00
2015-01-14 20:00:00,116.775,117.434,116.687,117.269,50987,2015-01-14 20:00:00,2015-01-14 23:12:00
2015-01-15 00:00:00,117.268,117.698,117.13,117.663,34371,2015-01-15 01:12:00,2015-01-15 03:36:00
2015-01-15 04:00:00,117.662,117.835,117.567,117.692,36452,2015-01-15 06:24:00,2015-01-15 05:12:00
2015-01-15 08:00:00,117.692,117.94,117.53,117.583,43263,2015-01-15 11:36:00,2015-01-15 09:12:00
2015-01-15 12:00:00,117.582,117.594,116.278,116.498,83569,2015-01-15 14:24:00,2015-01-15 12:00:00
2015-01-15 16:00:00,116.498,117.249,116.236,116.951,73082,2015-01-15 16:00:00,2015-01-15 17:12:00
2015-01-15 20:00:00,116.948,117.001,116.263,116.3,55587,2015-01-15 23:36:00,2015-01-15 20:00:00
2015-01-16 00:00:00,116.304,116.455,115.89,116.34,47132,2015-01-16 01:12:00,2015-01-16 00:00:00
2015-01-16 04:00:00,116.339,116.571,115.85,116.42,47900,2015-01-16 05:36:00,2015-01-16 04:00:00
2015-01-16 08:00:00,116.42,116.833,116.258,116.546,48800,2015-01-16 08:24:00,2015-01-16 09:12:00
2015-01-16 12:00:00,116.544,116.769,116.317,116.561,40064,2015-01-16 12:24:00,2015-01-16 14:48:00
2015-01-16 16:00:00,116.559,117.756,116.327,117.443,33760,2015-01-16 16:24:00,2015-01-16 18:48:00
2015-01-16 20:00:00,117.444,117.655,117.355,117.604,17229,2015-01-16 21:12:00,2015-01-16 23:36:00
2015-01-17 00:00:00,117.616,117.678,117.384,117.614,2972,2015-01-17 00:24:00,2015-01-17 00:24:00
2015-01-19 00:00:00,117.476,117.649,117.366,117.448,9193,2015-01-19 01:36:00,2015-01-19 03:36:00
2015-01-19 04:00:00,117.447,117.47,116.916,117.078,13569,2015-01-19 06:24:00,2015-01-19 04:00:00
2015-01-19 08:00:00,117.063,117.378,117.011,117.195,13875,2015-01-19 10:00:00,2015-01-19 11:36:00
2015-01-19 12:00:00,117.196,117.435,117.143,117.348,8331,2015-01-19 12:00:00,2015-01-19 14:48:00
2015-01-19 16:00:00,117.35,117.577,117.267,117.497,7930,2015-01-19 16:00:00,2015-01-19 18:48:00
2015-01-19 20:00:00,117.502,117.776,117.414,117.567,4270,2015-01-19 20:00:00,2015-01-19 22:48:00
2015-01-20 00:00:00,117.571,117.923,117.492,117.923,5175,2015-01-20 00:48:00,2015-01-20 03:36:00
2015-01-20 04:00:00,117.925,118.304,117.87,118.239,6829,2015-01-20 04:00:00,2015-01-20 04:48:00
2015-01-20 08:00:00,118.236,118.521,117.975,118.074,9815,2015-01-20 11:36:00,2015-01-20 09:12:00
2015-01-20 12:00:00,118.072,118.762,118.042,118.677,10987,2015-01-20 12:00:00,2015-01-20 15:12:00
2015-01-20 16:00:00,118.675,118.745,118.244,118.476,16222,2015-01-20 18:48:00,2015-01-20 16:00:00
2015-01-20 20:00:00,118.472,118.858,118.457,118.687,7503,2015-01-20 20:00:00,2015-01-20 22:24:00
2015-01-21 00:00:00,118.689,118.847,118.525,118.596,4758,2015-01-21 03:36:00,2015-01-21 00:24:00
2015-01-21 04:00:00,118.594,118.619,117.664,117.831,10134,2015-01-21 06:48:00,2015-01-21 04:00:00
2015-01-21 08:00:00,117.83,117.878,117.302,117.836,10227,2015-01-21 09:36:00,2015-01-21 08:00:00
2015-01-21 12:00:00,117.837,117.904,117.408,117.476,9857,2015-01-21 15:12:00,2015-01-21 12:00:00
2015-01-21 16:00:00,117.475,117.908,117.173,117.863,18835,2015-01-21 17:36:00,2015-01-21 19:36:00
2015-01-21 20:00:00,117.859,118.164,117.751,117.802,7550,2015-01-21 23:36:00,2015-01-21 20:00:00
2015-01-22 00:00:00,117.804,118.15,117.736,117.998,4581,2015-01-22 00:00:00,2015-01-22 03:12:00
2015-01-22 04:00:00,118.0,118.328,117.807,118.101,5175,2015-01-22 04:00:00,2015-01-22 06:24:00
2015-01-22 08:00:00,118.101,118.313,117.841,117.875,8844,2015-01-22 11:36:00,2015-01-22 09:12:00
2015-01-22 12:00:00,117.876,117.876,117.445,117.662,10193,2015-01-22 15:36:00,2015-01-22 12:00:00
2015-01-22 16:00:00,117.659,118.081,117.245,117.925,19762,2015-01-22 17:36:00,2015-01-22 16:24:00
2015-01-22 20:00:00,117.929,118.605,117.85,118.538,8674,2015-01-22 20:24:00,2015-01-22 23:36:00
2015-01-23 00:00:00,118.537,118.807,118.35,118.494,6372,2015-01-23 03:36:00,2015-01-23 02:24:00
2015-01-23 04:00:00,118.492,118.615,118.229,118.599,5769,2015-01-23 05:12:00,2015-01-23 07:36:00
2015-01-23 08:00:00,118.592,118.702,118.092,118.31,11266,2015-01-23 11:12:00,2015-01-23 08:00:00
2015-01-23 12:00:00,118.313,118.588,117.751,118.132,13023,2015-01-23 15:12:00,2015-01-23 12:48:00
2015-01-23 16:00:00,118.133,118.205,117.539,117.801,15843,2015-01-23 18:24:00,2015-01-23 16:24:00
2015-01-23 20:00:00,117.803,117.944,117.708,117.803,6134,2015-01-23 22:00:00,2015-01-23 20:00:00
